SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC12076388,0.0163,0.5611,0.0227,0.1804,0.0046,0.0011,0,0,0.2139,Kuwait
GRC12076368,0.0136,0.6483,0.0148,0.2574,0,0,0,0.0646,0.0012,Lebanon
GRC12076372,0,0.6496,0,0.2989,0.0057,0,0,0.0457,0,Lebanon
GRC12076382,0.0196,0.6464,0,0.251,0,0.0102,0,0.052,0.0208,Lebanon
GRC12076385,0.0139,0.6466,8.00E-04,0.2471,0,0,0.0039,0.0462,0.0415,Lebanon
GRC12076387,0,0.6231,0,0.3007,7.00E-04,0.0027,0,0.0727,0,Lebanon
GRC12076391,0.0069,0.6567,0.007,0.2577,0.0042,0.0037,0,0.0528,0.011,Lebanon
GRC12076362,0.0083,0.6987,0.0053,0.282,0,0.0025,0,0.0031,0,Lebanon
GRC12076365,0,0.6977,0.007,0.2554,0,0.0081,0,0.0315,3.00E-04,Lebanon
GRC12076367,0,0.7203,0.0013,0.2702,0,0.0029,0,0.0053,0,Lebanon
GRC12076369,0,0.7105,0.0087,0.2572,0,0.0048,0,0.0075,0.0112,Lebanon
GRC12076373,0.0049,0.6986,0.0105,0.2436,0.0047,0.0056,0,0.0303,0.0017,Lebanon
GRC12076383,0.0021,0.6992,0,0.2369,0.005,0.0166,0,0.036,0.0041,Lebanon
GRC12076386,0.0033,0.6924,0.0068,0.247,0,4.00E-04,0,0.0334,0.0166,Lebanon
GRC12076389,0.0063,0.709,0.0102,0.2709,0,0,0,0,0.0035,Lebanon
GRC12076390,0.0043,0.7197,0.005,0.2501,0,0.0097,0,0.0111,0,Lebanon
GRC12076393,0,0.7631,0.0039,0.2329,0,0,0,0,0,Lebanon
GRC12076395,0,0.7547,0.0051,0.239,0,0,0,0,0.0012,Lebanon
GRC12076357,0.0112,0.6061,0.0032,0.2697,0,0.011,0,0.0671,0.0316,Lebanon
GRC12076358,0.0296,0.5722,0.0091,0.2623,0,0.0118,0,0.0687,0.0463,Lebanon
GRC12076359,0.0196,0.5741,0,0.281,0.0038,0.0077,0,0.0855,0.0283,Lebanon
GRC12076360,0.0169,0.5882,0.0031,0.2594,0,0.0056,0,0.0951,0.0316,Lebanon
GRC12076361,0,0.6488,5.00E-04,0.2003,0,0.0047,0,0.0299,0.1158,Lebanon
GRC12084557,0.1529,0.0947,0.0373,0.0012,0.0072,0.0027,0.1962,0.054,0.4538,Mahajanga_Madagascar
GRC12081949,0,0.0827,0,0.5736,0.007,0,0.3243,0.0123,0,Majhbi
